CPTAC_ovarian_cancer_protein_zscores.txt,gene_symbol	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt,gene_symbol_site	color	source
CDK6	NFATC4_s168	51,153,255	PhosphoNetworks (PN)
CDK6	NFATC4_s170	51,153,255	PhosphoNetworks (PN)
CDK6	NFATC4_s213	51,153,255	PhosphoNetworks (PN)
CDK6	NFATC4_s217	51,153,255	PhosphoNetworks (PN)
CDK6	NFATC4_s221	51,153,255	PhosphoNetworks (PN)
CDK6	NFATC4_s676	51,153,255	PhosphoNetworks (PN)
CDK6	NPM1_t199	102,204,0	PhosphoSitePlus (PSP)
CDK6	NUSAP1_t123	51,153,255	PhosphoNetworks (PN)
CDK6	NUSAP1_t134	51,153,255	PhosphoNetworks (PN)
CDK6	NUSAP1_t29	51,153,255	PhosphoNetworks (PN)
CDK6	PKM_s37	102,204,0	PhosphoSitePlus (PSP)
CDK6	PPP1R13L_s110	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s113	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s120	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s158	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s183	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s187	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s280	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s316	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s358	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s395	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s53	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s567	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s597	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_s84	51,153,255	PhosphoNetworks (PN)
CDK6	PPP1R13L_t123	51,153,255	PhosphoNetworks (PN)
CDK6	PUM1_s209	51,153,255	PhosphoNetworks (PN)
CDK6	PUM1_s229	51,153,255	PhosphoNetworks (PN)
CDK6	PUM1_s806	51,153,255	PhosphoNetworks (PN)
CDK6	RB1_s612	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_s780	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_s788	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_s795	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_s807	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_s811	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_t821	102,204,0	PhosphoSitePlus (PSP)
CDK6	RB1_t826	102,204,0	PhosphoSitePlus (PSP)
CDK6	RBL2_s1035	239,130,13	PSP, PN
CDK6	RBL2_s1044	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_s1068	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_s1080	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_s1112	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_s639	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_s662	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_s672	239,130,13	PSP, PN
CDK6	RBL2_s966	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_t1097	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_t401	239,130,13	PSP, PN
CDK6	RBL2_t417	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_t642	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_t694	51,153,255	PhosphoNetworks (PN)
CDK6	RBL2_t986	51,153,255	PhosphoNetworks (PN)
CDK6	RNF14_s222	51,153,255	PhosphoNetworks (PN)
CDK6	RPA2_s23	51,153,255	PhosphoNetworks (PN)
CDK6	RPA2_s29	51,153,255	PhosphoNetworks (PN)
CDK6	RUNX1_s276	102,204,0	PhosphoSitePlus (PSP)
CDK6	RUNX1_s293	102,204,0	PhosphoSitePlus (PSP)
CDK6	RUNX1_s303	102,204,0	PhosphoSitePlus (PSP)
CDK6	RUNX1_s424	102,204,0	PhosphoSitePlus (PSP)
CDK6	RUNX1_s48	102,204,0	PhosphoSitePlus (PSP)
CDK6	RUNX1_t300	102,204,0	PhosphoSitePlus (PSP)
CDK6	SMARCC2_s283	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_s302	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_s306	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_s347	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_t1208	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_t308	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_t322	51,153,255	PhosphoNetworks (PN)
CDK6	SMARCC2_t548	51,153,255	PhosphoNetworks (PN)
CDK6	STUB1_s19	51,153,255	PhosphoNetworks (PN)
CDK6	STUB1_s23	51,153,255	PhosphoNetworks (PN)
CDK6	STUB1_s273	51,153,255	PhosphoNetworks (PN)
CDK6	TCF3_s134	51,153,255	PhosphoNetworks (PN)
CDK6	TCF3_s139	51,153,255	PhosphoNetworks (PN)
CDK6	TCF3_s359	51,153,255	PhosphoNetworks (PN)
CDK6	TCF3_s379	51,153,255	PhosphoNetworks (PN)
CDK6	TCF3_t355	51,153,255	PhosphoNetworks (PN)
CDK6	ZHX1_t36	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_s202	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_s259	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_s267	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_s281	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_s308	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_s344	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_t179	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_t270	51,153,255	PhosphoNetworks (PN)
CDK6	ZYX_t274	51,153,255	PhosphoNetworks (PN)
CDK7	AR_s516	102,204,0	PhosphoSitePlus (PSP)
CDK7	CAMKK1_s100	51,153,255	PhosphoNetworks (PN)
CDK7	CAMKK1_s492	51,153,255	PhosphoNetworks (PN)
CDK7	CBL_s452	51,153,255	PhosphoNetworks (PN)
CDK7	CBL_s483	51,153,255	PhosphoNetworks (PN)
CDK7	CBL_s900	51,153,255	PhosphoNetworks (PN)
CDK7	CDC2_t222	51,153,255	PhosphoNetworks (PN)
CDK7	CDK1_t161	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK11B_t595	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK12_t893	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK2_s46	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK2_t160	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK2_t165	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK2_y168	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK4_t172	239,130,13	PSP, PN
CDK7	CDK6_t177	102,204,0	PhosphoSitePlus (PSP)
CDK7	CDK9_s175	102,204,0	PhosphoSitePlus (PSP)
CDK7	CRY1_s247	51,153,255	PhosphoNetworks (PN)
CDK7	CTTN_s368	51,153,255	PhosphoNetworks (PN)
CDK7	CTTN_s381	51,153,255	PhosphoNetworks (PN)
CDK7	CTTN_t364	51,153,255	PhosphoNetworks (PN)
CDK7	E2F1_s332	51,153,255	PhosphoNetworks (PN)
CDK7	E2F1_s337	51,153,255	PhosphoNetworks (PN)
CDK7	E2F1_s403	239,130,13	PSP, PN
CDK7	E2F1_t433	239,130,13	PSP, PN
CDK7	EIF4B_s93	51,153,255	PhosphoNetworks (PN)
CDK7	ESR1_s104	51,153,255	PhosphoNetworks (PN)
CDK7	ESR1_s106	51,153,255	PhosphoNetworks (PN)
CDK7	ESR1_s118	239,130,13	PSP, PN
CDK7	ESR1_s294	51,153,255	PhosphoNetworks (PN)
CDK7	HIRIP3_s108	51,153,255	PhosphoNetworks (PN)
CDK7	HIRIP3_s125	51,153,255	PhosphoNetworks (PN)
CDK7	HIRIP3_t84	51,153,255	PhosphoNetworks (PN)
CDK7	MCM2_s108	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s13	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s139	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s27	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s4	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s40	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s41	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s5	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s53	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_s7	102,204,0	PhosphoSitePlus (PSP)
CDK7	MCM2_t59	102,204,0	PhosphoSitePlus (PSP)
CDK7	NEUROD1_s274	51,153,255	PhosphoNetworks (PN)
CDK7	NFATC4_s168	51,153,255	PhosphoNetworks (PN)
CDK7	NFATC4_s170	51,153,255	PhosphoNetworks (PN)
CDK7	NFATC4_s213	51,153,255	PhosphoNetworks (PN)
CDK7	NFATC4_s217	51,153,255	PhosphoNetworks (PN)
CDK7	NFATC4_s221	51,153,255	PhosphoNetworks (PN)
CDK7	NFATC4_s676	51,153,255	PhosphoNetworks (PN)
CDK7	NOC2L_s240	51,153,255	PhosphoNetworks (PN)
CDK7	NOC2L_s35	51,153,255	PhosphoNetworks (PN)
CDK7	NOC2L_s49	51,153,255	PhosphoNetworks (PN)
CDK7	NOC2L_s56	51,153,255	PhosphoNetworks (PN)
CDK7	NOL7_s133	51,153,255	PhosphoNetworks (PN)
CDK7	NR5A1_s203	102,204,0	PhosphoSitePlus (PSP)
CDK7	NUP133_s267	51,153,255	PhosphoNetworks (PN)
CDK7	NUP133_s45	51,153,255	PhosphoNetworks (PN)
CDK7	NUP133_s50	51,153,255	PhosphoNetworks (PN)
CDK7	NUP133_t10	51,153,255	PhosphoNetworks (PN)
CDK7	NUP133_t28	51,153,255	PhosphoNetworks (PN)
CDK7	NUP133_t63	51,153,255	PhosphoNetworks (PN)
CDK7	PCGF6_s30	102,204,0	PhosphoSitePlus (PSP)
CDK7	PER1_s1279	51,153,255	PhosphoNetworks (PN)
CDK7	PER1_s704	51,153,255	PhosphoNetworks (PN)
CDK7	PER1_s980	51,153,255	PhosphoNetworks (PN)
CDK7	PINX1_s161	51,153,255	PhosphoNetworks (PN)
CDK7	PINX1_t164	51,153,255	PhosphoNetworks (PN)
CDK7	POLR2A_s1616	102,204,0	PhosphoSitePlus (PSP)
CDK7	POLR2A_s1619	102,204,0	PhosphoSitePlus (PSP)
CDK7	POLR2A_s1621	102,204,0	PhosphoSitePlus (PSP)
CDK7	POLR2A_s1878	102,204,0	PhosphoSitePlus (PSP)
CDK7	POU2F1_s448	51,153,255	PhosphoNetworks (PN)
CDK7	POU2F1_t270	51,153,255	PhosphoNetworks (PN)
CDK7	POU2F1_t276	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s110	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s113	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s120	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s158	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s187	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s280	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s316	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s358	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s395	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s53	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s567	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s597	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_s84	51,153,255	PhosphoNetworks (PN)
CDK7	PPP1R13L_t123	51,153,255	PhosphoNetworks (PN)
CDK7	PSPC1_s409	51,153,255	PhosphoNetworks (PN)
CDK7	PSPC1_s477	51,153,255	PhosphoNetworks (PN)
CDK7	RARA_s445	51,153,255	PhosphoNetworks (PN)
CDK7	RARA_s449	51,153,255	PhosphoNetworks (PN)
CDK7	RARA_s456	51,153,255	PhosphoNetworks (PN)
CDK7	RARA_s461	51,153,255	PhosphoNetworks (PN)
CDK7	RARA_s77	239,130,13	PSP, PN
CDK7	RARG_s77	102,204,0	PhosphoSitePlus (PSP)
CDK7	RARG_s79	102,204,0	PhosphoSitePlus (PSP)
CDK7	RPA2_s23	51,153,255	PhosphoNetworks (PN)
CDK7	RPA2_s29	51,153,255	PhosphoNetworks (PN)
CDK7	SMAD1_s206	102,204,0	PhosphoSitePlus (PSP)
CDK7	SMAD4_t277	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_s283	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_s302	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_s306	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_s347	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_t1208	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_t308	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_t322	51,153,255	PhosphoNetworks (PN)
CDK7	SMARCC2_t548	51,153,255	PhosphoNetworks (PN)
CDK7	SOX10_s24	51,153,255	PhosphoNetworks (PN)
CDK7	SOX10_s45	51,153,255	PhosphoNetworks (PN)
CDK7	SUPT5H_s773	102,204,0	PhosphoSitePlus (PSP)
CDK7	SUPT5H_s782	102,204,0	PhosphoSitePlus (PSP)
CDK7	SUPT5H_t775	102,204,0	PhosphoSitePlus (PSP)
CDK7	SUPT5H_t784	102,204,0	PhosphoSitePlus (PSP)
CDK7	TP53_s315	51,153,255	PhosphoNetworks (PN)
CDK7	TP53_s33	239,130,13	PSP, PN
CDK7	TP53_s371	102,204,0	PhosphoSitePlus (PSP)
CDK7	TP53_s376	102,204,0	PhosphoSitePlus (PSP)
CDK7	TP53_s378	102,204,0	PhosphoSitePlus (PSP)
CDK7	TP53_s392	102,204,0	PhosphoSitePlus (PSP)
CDK7	TP53_t81	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_s140	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_s199	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_s241	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_s266	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_s447	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_t257	51,153,255	PhosphoNetworks (PN)
CDK7	XRCC1_t453	51,153,255	PhosphoNetworks (PN)
CDK7	XRN2_t439	102,204,0	PhosphoSitePlus (PSP)
CDK7	ZCCHC8_s424	51,153,255	PhosphoNetworks (PN)
CDK7	ZCCHC8_s500	51,153,255	PhosphoNetworks (PN)
CDK7	ZCCHC8_s649	51,153,255	PhosphoNetworks (PN)
CDK7	ZCCHC8_t479	51,153,255	PhosphoNetworks (PN)
CDK7	ZCCHC8_t485	51,153,255	PhosphoNetworks (PN)
CDK7	ZCCHC8_t492	51,153,255	PhosphoNetworks (PN)
CDK7	ZCCHC8_t496	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_s202	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_s259	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_s267	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_s281	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_s308	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_s344	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_t179	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_t270	51,153,255	PhosphoNetworks (PN)
CDK7	ZYX_t274	51,153,255	PhosphoNetworks (PN)
CDK8	CCNH_s304	102,204,0	PhosphoSitePlus (PSP)
CDK8	CCNH_s5	102,204,0	PhosphoSitePlus (PSP)
CDK8	E2F1_s375	102,204,0	PhosphoSitePlus (PSP)
CDK8	HIST1H3A_s10	102,204,0	PhosphoSitePlus (PSP)
CDK8	NOTCH1_s2513	102,204,0	PhosphoSitePlus (PSP)
CDK8	NOTCH1_s2516	102,204,0	PhosphoSitePlus (PSP)
CDK8	NOTCH1_t2511	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD1_s187	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD1_s195	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD1_s206	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD1_s214	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD3_s208	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD3_s213	102,204,0	PhosphoSitePlus (PSP)
CDK8	SMAD3_t179	102,204,0	PhosphoSitePlus (PSP)
CDK9	AR_s83	102,204,0	PhosphoSitePlus (PSP)
CDK9	BORA_s325	102,204,0	PhosphoSitePlus (PSP)
CDK9	CDK9_s347	102,204,0	PhosphoSitePlus (PSP)
CDK9	CDK9_s353	102,204,0	PhosphoSitePlus (PSP)
CDK9	CDK9_t186	102,204,0	PhosphoSitePlus (PSP)
CDK9	CDK9_t354	102,204,0	PhosphoSitePlus (PSP)
CDK9	CDK9_t362	102,204,0	PhosphoSitePlus (PSP)
CDK9	CDK9_t363	102,204,0	PhosphoSitePlus (PSP)
CDK9	CHEK2_t387	51,153,255	PhosphoNetworks (PN)
CDK9	ETS1_t38	51,153,255	PhosphoNetworks (PN)
CDK9	HIST1H1A_s183	102,204,0	PhosphoSitePlus (PSP)
CDK9	NCOA2_s469	102,204,0	PhosphoSitePlus (PSP)
CDK9	NCOA2_s487	102,204,0	PhosphoSitePlus (PSP)
CDK9	NCOA2_s493	102,204,0	PhosphoSitePlus (PSP)
CDK9	NCOA2_s499	102,204,0	PhosphoSitePlus (PSP)
CDK9	NEUROD1_s274	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_s10	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_s70	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_t199	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_t219	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_t234	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_t237	51,153,255	PhosphoNetworks (PN)
CDK9	NPM1_t95	51,153,255	PhosphoNetworks (PN)
CDK9	NUP133_s267	51,153,255	PhosphoNetworks (PN)
CDK9	NUP133_s45	51,153,255	PhosphoNetworks (PN)
CDK9	NUP133_s50	51,153,255	PhosphoNetworks (PN)
CDK9	NUP133_t10	51,153,255	PhosphoNetworks (PN)
CDK9	NUP133_t28	51,153,255	PhosphoNetworks (PN)
CDK9	NUP133_t63	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1616	239,130,13	PSP, PN
CDK9	POLR2A_s1619	239,130,13	PSP, PN
CDK9	POLR2A_s1621	102,204,0	PhosphoSitePlus (PSP)
CDK9	POLR2A_s1815	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1836	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1843	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1847	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1850	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1857	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1861	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1864	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1868	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1875	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1878	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1882	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1889	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1892	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1896	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1899	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1906	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1913	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1917	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1920	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1931	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1934	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_s1962	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_t1618	102,204,0	PhosphoSitePlus (PSP)
CDK9	POLR2A_t1840	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_t1854	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_t1885	51,153,255	PhosphoNetworks (PN)
CDK9	POLR2A_t1903	51,153,255	PhosphoNetworks (PN)
CDK9	PPARG_s112	102,204,0	PhosphoSitePlus (PSP)
CDK9	PTBP1_s141	51,153,255	PhosphoNetworks (PN)
CDK9	RB1_s795	102,204,0	PhosphoSitePlus (PSP)
CDK9	RB1_s807	102,204,0	PhosphoSitePlus (PSP)
CDK9	RB1_s811	102,204,0	PhosphoSitePlus (PSP)
CDK9	RCHY1_s211	102,204,0	PhosphoSitePlus (PSP)
CDK9	RCHY1_t217	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD1_s187	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD1_s195	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD1_s206	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD1_s214	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD3_s208	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD3_s213	102,204,0	PhosphoSitePlus (PSP)
CDK9	SMAD3_t179	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_s666	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_s773	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_s782	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t768	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t775	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t784	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t791	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t799	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t806	102,204,0	PhosphoSitePlus (PSP)
CDK9	SUPT5H_t814	102,204,0	PhosphoSitePlus (PSP)
CDK9	TP53_s315	102,204,0	PhosphoSitePlus (PSP)
CDK9	TP53_s33	102,204,0	PhosphoSitePlus (PSP)
CDK9	TP53_s392	102,204,0	PhosphoSitePlus (PSP)
CDK9	XRN2_t439	102,204,0	PhosphoSitePlus (PSP)
CDKL3	CTTN_s368	51,153,255	PhosphoNetworks (PN)
CDKL3	CTTN_s381	51,153,255	PhosphoNetworks (PN)
CDKL3	CTTN_t364	51,153,255	PhosphoNetworks (PN)
CDKL5	CDKL5_t169	102,204,0	PhosphoSitePlus (PSP)
CDKL5	CDKL5_y171	102,204,0	PhosphoSitePlus (PSP)
CDKL5	DDX39_t171	51,153,255	PhosphoNetworks (PN)
CDKL5	DGCR8_s109	51,153,255	PhosphoNetworks (PN)
CDKL5	DGCR8_s35	51,153,255	PhosphoNetworks (PN)
CDKL5	DGCR8_s377	51,153,255	PhosphoNetworks (PN)
CDKL5	DGCR8_s95	51,153,255	PhosphoNetworks (PN)
CDKL5	DGCR8_t371	51,153,255	PhosphoNetworks (PN)
CDKL5	EIF4A3_t163	51,153,255	PhosphoNetworks (PN)
CDKL5	LRRC4C_s631	102,204,0	PhosphoSitePlus (PSP)
CDKL5	NOL7_s133	51,153,255	PhosphoNetworks (PN)
CDKL5	PTBP1_s141	51,153,255	PhosphoNetworks (PN)
CDKL5	RPA1_s135	51,153,255	PhosphoNetworks (PN)
CDKL5	RPA1_t191	51,153,255	PhosphoNetworks (PN)
CDKL5	RPS6KA2_s360	51,153,255	PhosphoNetworks (PN)
CDKL5	RPS6KA2_t356	51,153,255	PhosphoNetworks (PN)
CDKL5	RPS6KA2_t570	51,153,255	PhosphoNetworks (PN)
CDKL5	SRA1_s13	51,153,255	PhosphoNetworks (PN)
CDKL5	SSBP4_s342	51,153,255	PhosphoNetworks (PN)
CDKL5	SSBP4_t355	51,153,255	PhosphoNetworks (PN)
CHEK1	ADD1_s726	102,204,0	PhosphoSitePlus (PSP)
CHEK1	ADD2_s713	102,204,0	PhosphoSitePlus (PSP)
CHEK1	ADD3_s693	102,204,0	PhosphoSitePlus (PSP)
CHEK1	ANKRD12_s76	102,204,0	PhosphoSitePlus (PSP)
CHEK1	ARHGEF2_s172	102,204,0	PhosphoSitePlus (PSP)
CHEK1	AURKB_s331	102,204,0	PhosphoSitePlus (PSP)
CHEK1	BAZ1A_s1320	102,204,0	PhosphoSitePlus (PSP)
CHEK1	BLM_s502	102,204,0	PhosphoSitePlus (PSP)
CHEK1	BLM_s539	102,204,0	PhosphoSitePlus (PSP)
CHEK1	BLM_s646	102,204,0	PhosphoSitePlus (PSP)
CHEK1	BLM_t182	102,204,0	PhosphoSitePlus (PSP)
CHEK1	BUD13_s18	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CAAP1_s203	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CAMSAP2_s464	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CCDC6_s240	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CCDC6_s244	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25A_s124	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25A_s178	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25A_s279	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25A_s293	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25A_s76	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25A_t507	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25B_s230	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25B_s563	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDC25C_s216	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDK1_s208	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CDK13_s437	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CEP170B_s655	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CHD7_t1227	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CHEK1_s291	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CHEK1_s296	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CHEK1_s316	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CHTOP_t212	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CLK3_s157	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CLSPN_t916	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CSNK2B_t213	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CTR9_s1081	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CTTN_s298	102,204,0	PhosphoSitePlus (PSP)
CHEK1	CWC25_s337	102,204,0	PhosphoSitePlus (PSP)
CHEK1	DDX19A_s92	102,204,0	PhosphoSitePlus (PSP)
CHEK1	DDX19B_s93	102,204,0	PhosphoSitePlus (PSP)
