gene_info	entrezs	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
CTSC	1075	0.003	0.122	-0.336	0.991	-0.174	-0.085	0.22	-0.57	-0.078	0.079	0.468	-0.381	-0.378	-0.937	0.341	1.032	-0.316
CTSD	1509	0.59	-0.252	-0.119	0.414	-0.638	0.663	1.084	0.02	-0.571	-0.381	-0.811	-0.183	-0.493	0.52	-0.182	0.257	0.083
CTSF	8722	0.437	0.3	-0.314	-1.094	-0.272	-0.317	0.384	0.079	-0.051	0.279	0.077	-0.091	-0.273	-0.309	0.598	0.558	0.008
CTSH	1512	0.066	0.356	0.228	0.071	-0.007	-0.013	0.131	-0.089	-0.125	0.036	0.089	0.229	0.365	0.109	-0.186	-0.712	-0.549
CTSL	1514	0.236	-0.016	-0.066	0.381	-0.133	0.044	-0.378	0.021	0	0.413	0.298	0.174	-0.034	-0.325	-0.176	-0.065	-0.374
CTSS	1520	0.484	0.211	0.12	0.02	0.071	-0.136	0.078	0.18	-0.123	-0.178	0.314	0.104	0.176	-0.253	-0.791	0.012	-0.289
CTSZ	1522	0.234	0.475	0.199	-0.067	-0.184	0.186	0.597	0.303	-0.337	0.355	0.024	0.344	-0.438	-0.261	-0.581	0.035	-0.882
CTTN	2017	-1.637	-0.336	-0.982	1.367	0.187	0.841	-0.394	0.059	1.103	1.629	-0.414	-0.584	-0.107	-0.455	0.101	-0.696	0.319
CUL4B	8450	0.604	0.799	-0.981	-1.303	-0.132	-0.334	-0.711	-0.134	-0.639	0.671	-0.024	0.887	0.235	0.324	0.04	0.348	0.351
CUTA	51596	-0.131	-0.155	-0.227	0.402	0.29	0.255	-0.217	-0.047	-0.095	0.166	-0.092	-0.163	0.269	0.204	0.004	-0.386	-0.076
CYB5A	1528	-0.164	-0.219	0.352	0.043	-0.035	0	-0.071	0.373	-0.591	-0.74	-0.198	-0.165	0.996	1.637	-0.643	-0.309	-0.266
CYCS	54205	-0.518	0.129	-0.749	0.594	0.254	0.913	-0.504	-0.224	0.605	0.863	-0.025	-0.403	0.125	-0.665	0.061	-0.31	-0.148
CYTL1	54360	0.484	-0.211	0.391	-0.085	0.112	-0.579	-0.4	-0.126	0.286	-0.255	0.426	0.591	0.566	-0.289	-0.229	-0.597	-0.085
DAG1	1605	0.408	-0.201	0.138	-0.329	-0.138	-0.335	-0.053	-0.155	-0.187	-0.063	-0.021	0.588	0.215	-0.068	-0.1	0.834	-0.535
DAK	NA	-0.44	0.048	0.41	0.506	0.564	0.332	0.084	-0.01	0.105	-0.144	0.036	0.106	-0.218	0.162	-0.487	-0.783	-0.269
DARS	NA	-0.232	-0.113	-0.261	0.19	0.16	0.341	-0.563	0.205	0.563	0.094	0.431	0.129	0.05	-0.36	0.281	-0.54	-0.375
DBH	1621	1.002	0.549	-0.999	1.189	0.393	-0.644	0.498	-0.161	-3.441	1.538	0.321	0.488	-0.561	0.859	0.076	1.593	-2.701
DBI	1622	-0.514	-0.322	-0.341	0.491	0.358	0.292	-0.366	0.402	0.931	0.929	-0.287	-0.312	0.157	-0.483	-0.142	-0.807	0.011
DBN1	1627	-1.041	-0.352	-0.817	0.376	0.312	1.01	-1.209	-0.145	0.697	1.09	-0.101	-0.476	0.487	-0.271	-0.316	-0.228	0.982
DBNL	28988	-1.521	-0.599	-0.88	1.193	0.127	0.388	-0.43	-0.237	0.74	1.342	-0.651	-0.55	0.168	1.281	-0.011	-0.496	0.136
DCBLD1	285761	-0.022	0.18	0.005	-0.016	-0.042	-0.16	-0.234	-0.219	-0.052	-0.299	0.263	-0.012	0.857	0.359	-0.228	-0.104	-0.275
DCBLD2	131566	0.483	0.031	-0.025	0.013	0.061	-0.116	-0.171	0.114	0.279	-0.388	0.373	0.358	-0.053	-0.31	0.037	-0.383	-0.301
DCD	117159	0.206	-0.006	-0.19	0.19	-0.092	-1.124	-0.667	-0.615	0.649	-0.595	-0.302	0.728	0.697	0.084	0.433	-0.119	0.725
DCN	1634	0.136	-0.168	-0.126	0.204	0.315	-0.336	-0.247	-0.172	0.17	-0.537	1.104	0.043	0.372	-0.312	0.013	-0.41	-0.049
DCTN2	10540	-0.895	-0.252	-0.67	0.866	0.282	0.038	0.023	0.301	0.526	0.972	-0.022	-0.582	0.312	0.339	-0.022	-0.781	-0.437
DCUN1D1	54165	-0.447	-0.186	-0.042	0.359	-0.026	0.089	-0.394	0.182	-0.353	-0.331	-0.214	-0.585	0.594	1.47	-0.183	-0.011	0.079
DDAH2	23564	-1.075	-0.657	-0.273	0.961	0.177	0.306	-0.266	0.004	0.304	0.555	0.074	0.13	-0.042	0.004	0.128	-0.355	0.027
DDB1	1642	-0.702	-0.267	0.012	0.918	-0.012	-0.061	-0.377	0.133	0.012	-0.104	0.096	-0.296	0.324	1.108	-0.463	-0.565	0.245
DDI2	84301	-0.296	-0.198	0.498	0.274	0.1	-0.575	-0.611	0.173	-0.515	-0.995	-0.128	-0.368	0.852	2.096	-0.312	0.175	-0.169
DDR1	780	-0.079	0.069	0.243	0.06	0.164	0.18	-0.163	-0.279	0.133	-0.279	0.369	-0.163	0.542	-0.614	0.261	-0.061	-0.383
DDT	1652	-0.442	-0.032	0.385	0.364	0.525	-0.148	0.19	0.476	-0.849	-0.584	-0.518	-0.525	0.582	1.496	-0.791	-0.176	0.047
DENR	8562	-0.754	-0.188	-0.522	0.86	0.148	0.318	-0.1	0.231	0.322	0.696	-0.457	-0.579	0.408	0.296	0.008	-0.715	0.027
DGKA	1606	0.109	0.315	0.258	-0.582	0.103	-0.5	-0.731	-0.43	-0.211	-0.112	0.722	0.355	0.586	-0.554	0.284	0.34	0.049
DKK3	27122	-0.03	0.001	-0.095	-0.177	0.068	-0.721	-0.219	-0.12	0.199	0.053	0.853	0.131	0.566	0.076	-0.052	-0.478	-0.055
DLL1	28514	0.332	-0.06	-0.22	-0.235	-0.237	-0.137	0.2	-0.107	0.046	-0.06	-0.157	0.121	0.02	-0.22	0.315	0.665	-0.266
DMKN	93099	0.453	-0.356	-0.292	0.337	-0.224	0.583	-0.042	-0.334	0.74	-0.45	-0.593	0.462	0.118	-0.314	-0.14	0.314	-0.262
DMTN	2039	-1.456	-0.39	-0.924	0.951	0.414	0.834	-0.583	0.022	0.948	1.325	-0.29	-1.11	0.424	0.847	-0.052	-0.925	-0.036
DNAJC3	5611	0.253	-0.106	0.06	0.113	0.007	-0.119	-0.317	-0.358	0.081	0.219	0.255	-0.09	0.232	-0.14	0.054	0.083	-0.227
DNASE2	1777	-0.019	-0.057	0.602	0.008	0.013	-0.175	0.035	0.336	0.031	0.092	0.092	0.203	0.187	-0.233	-0.491	-0.191	-0.434
DNM1L	10059	-0.619	-0.45	-0.399	0.712	0.098	0.155	-0.473	0.275	0.896	0.923	-0.071	-0.081	-0.273	-0.188	0.098	-0.357	-0.247
DNM3	26052	-0.587	-0.253	-0.398	0.47	0.308	0.045	-0.646	0.277	0.706	0.204	0.196	-0.348	0.377	0.036	-0.041	-0.436	0.091
DNPH1	10591	-0.181	-0.795	0.269	-0.082	-0.028	0.137	0.053	0.64	-0.328	-0.653	-0.279	-0.768	0.739	1.466	0.08	-0.076	-0.192
DOCK4	9732	0.382	0.078	0.069	-0.016	0.024	-0.1	-0.271	0.09	0.169	-0.512	0.484	0.118	-0.077	-0.01	-0.025	-0.324	-0.077
DOT1L	84444	-0.08	0.303	-0.283	-0.183	0.129	-0.181	-0.203	-0.261	0.339	-0.109	0.326	-0.504	0.582	-0.082	0.218	-0.158	0.146
DPEP1	1800	-0.619	0.582	-0.449	-0.594	-0.715	0.137	0.152	-0.138	0.349	-0.339	0.669	-0.038	0.859	-0.149	0.352	-0.076	0.016
DPEP2	64174	0.284	0.078	-0.125	-0.517	0.119	-0.114	0.256	-0.18	0.152	-0.286	0.016	0.093	0.335	0.272	-0.301	0.065	-0.148
DPP3	10072	-0.426	-0.302	0.103	0.337	-0.098	-0.148	-0.141	0.038	-0.033	-0.162	-0.145	-0.351	-0.06	1.017	0.427	-0.231	0.176
DPP4	1803	0.188	0.847	-0.203	0.14	-0.225	-0.273	0.019	-0.23	-0.198	-0.066	0.33	0.436	0.143	-0.194	-0.601	-0.142	0.029
DPP7	29952	-0.104	0.392	-0.901	-0.119	-0.271	0.359	0.372	0.164	0.289	0.283	-0.02	-0.259	0.195	0.226	0.09	-0.465	-0.23
DPT	1805	-0.289	0.39	0.158	0.059	0.546	0.07	0.195	0.066	-0.376	-0.345	0.052	-0.121	0.735	-0.137	-0.757	-0.127	-0.119
DPYSL2	1808	-0.849	-0.228	-0.006	0.511	-0.236	0.318	-0.713	-0.432	0.795	0.507	0.063	-0.217	0.096	-0.034	0.405	-0.001	0.02
DSC1	1823	0.193	0.061	-0.432	-0.341	0.125	-0.297	-0.488	-0.333	0.36	-0.448	0.271	0.381	0.343	-0.076	0.455	0.413	-0.186
DSC2	1824	0.308	-0.286	0.06	-0.199	-0.087	-0.204	0.101	-0.249	-0.369	-0.341	0.156	0.143	0.621	-0.186	-0.006	0.737	-0.199
DSC3	1825	0.321	0.484	-0.374	0.198	0.033	-0.445	-0.575	-0.317	0.177	-0.168	0.135	0.532	0.169	-0.46	0.311	0.144	-0.167
DSG1	1828	-0.698	-0.178	0.029	-0.008	0.28	-0.663	0.465	-0.46	-0.255	-0.037	0.563	0.56	0.742	-0.894	0.569	-0.133	0.119
DSG2	1829	-0.067	-0.247	-0.362	-0.493	-0.177	-0.755	-0.22	-0.432	0.055	0.048	0.532	0.359	0.583	0.239	0.355	1.051	-0.469
DSP	1832	0.3	0.337	-0.09	-0.093	0	0.066	0.129	0.003	0.077	-0.114	0.032	0.466	0.096	-0.186	0.076	-0.003	-1.096
DSTN	11034	-2.145	-0.432	-1.184	1.16	0.378	0.432	-0.161	0.47	0.851	1.437	-0.696	-0.226	0.435	-0.053	0.422	-0.51	-0.178
DTD1	92675	-1.658	-0.714	-0.933	1.515	0.334	0.854	-0.196	0.162	0.701	1.304	-0.465	-0.56	-0.301	0.064	0.07	-0.441	0.264
DUSP3	1845	-1.225	-0.423	-0.616	0.762	0.21	0.366	-0.31	0.055	0.759	1.245	-0.097	-0.568	-0.218	-0.051	0.415	-0.153	-0.15
ECE1	1889	0.319	-0.171	-0.033	0.011	-0.051	-0.181	0.015	-0.113	0.246	-0.286	0.295	-0.033	0.195	-0.104	0.051	-0.09	-0.069
ECI1	1632	0.098	0.233	0.332	0.881	0.142	0.12	0.678	-0.07	-0.364	-0.756	0.01	0.294	-0.521	-0.505	-0.191	-0.283	-0.096
ECM1	1893	0.47	0.388	-0.56	0.216	-0.035	0.287	-0.444	0.188	-0.422	-0.279	0.144	0.243	0.155	0.186	0.171	-0.561	-0.147
ECM2	1842	0.383	-0.043	0.049	-0.677	0.152	-0.027	0.806	-0.399	-0.052	-0.434	0.031	-0.323	-0.299	0.031	0.647	0.222	-0.069
EEF1B2	1933	-0.841	-0.242	-0.646	0.741	0.246	0.663	-0.314	-0.059	0.573	1.248	-0.2	-0.434	0.288	-0.472	-0.217	-0.495	0.16
EEF1D	1936	-0.668	-0.05	-0.474	0.443	0.174	0.51	-0.427	-0.508	0.614	0.804	-0.108	-0.249	0.357	0.152	0.016	-0.706	0.121
EEF1G	1937	-1.008	-0.439	-0.829	0.54	0.151	0.789	-0.485	-0.036	0.955	0.614	-0.022	-0.358	-0.087	-0.428	-0.016	-0.207	0.866
EFEMP1	2202	0.073	-0.284	0.504	-0.877	-0.149	-0.284	-0.234	0.001	0.003	-0.228	0.335	0.821	-0.126	0.039	-0.152	1.158	-0.601
EFNA1	1942	0.325	0.059	0.146	0.098	-0.096	-0.223	-0.485	0.19	0.139	0.089	0.19	0.24	0.15	-0.328	-0.376	-0.152	0.034
EFNB1	1947	-0.116	-0.117	-0.191	0.129	0.343	0.244	-0.387	-0.034	0.441	0.261	0.01	0.146	0.142	-0.714	0.097	-0.178	-0.074
EFNB2	1948	0.194	-0.16	0.289	-0.117	0.172	-0.143	-0.384	-0.26	-0.278	-0.15	0.347	0.519	0.217	0.037	-0.175	0.05	-0.16
EGFR	1956	0.288	0.187	0.288	0.08	0.126	-0.125	-0.119	-0.166	0.006	-0.334	0.033	0.217	0.131	-0.088	-0.091	-0.464	0.03
EGLN2	112398	-0.594	-0.513	0.506	0.216	0.036	0.028	-0.365	0.571	-1.147	-0.762	-0.96	-0.671	1.597	2.227	-0.711	0.215	0.329
EHD1	10938	-0.932	-0.327	-0.519	0.904	0.292	0.699	-0.497	0.045	0.798	0.828	-0.101	-0.305	0.071	-0.588	0.245	-0.742	0.129
EHD3	30845	-1.454	-0.629	-0.509	0.85	0.278	1.506	-0.622	-0.346	1.264	1.462	-0.493	-0.592	-0.242	-0.257	0.105	-0.973	0.653
EIF4B	1975	-0.918	-0.09	-0.3	0.908	-0.054	0.226	-0.365	0.261	0.485	0.566	-0.173	-0.777	0.322	0.434	-0.094	-0.735	0.304
EIF4E	1977	0.874	-0.279	0.288	0.191	0.179	-0.176	0.358	-0.251	0.2	-0.533	-0.074	-0.034	-0.911	-0.168	0.32	-0.447	0.463
EIF4H	7458	-0.671	-0.246	-0.615	0.976	0.08	0.407	-0.142	0.106	0.724	1.034	0.01	-0.723	0.008	-0.694	0.181	-0.455	0.021
EIF5A	1984	-1.128	-0.206	-0.168	0.641	0.417	0.184	-1.159	0.018	0.388	0.482	-0.245	-0.573	0.795	1.606	-0.545	-0.617	0.11
ELTD1	NA	0.057	0.004	0.022	-0.135	0.475	-0.076	0.233	0.22	-0.167	-0.537	-0.14	0.492	0.183	-0.24	-0.461	0.161	-0.089
EMD	2010	-0.855	-0.248	-1.038	0.871	0.439	1.46	-0.643	-0.16	1.35	1.817	-0.189	-1.493	-0.071	-0.633	-0.125	-0.975	0.494
EMILIN2	84034	0.616	-0.103	0.02	-0.142	0.103	-0.102	-0.165	-0.239	0.072	-0.297	-0.043	0.529	0.717	-0.262	-0.263	-0.093	-0.349
EMILIN3	90187	0.001	0.282	-0.445	-0.371	0.063	-0.179	-0.88	0.059	0.606	0.169	0.735	0.12	0.393	-0.183	0.159	-0.067	-0.462
ENDOD1	23052	-0.765	-0.219	-0.435	0.302	0.071	0.276	-0.585	-0.034	0.818	0.955	0.094	-0.053	0.224	-0.331	-0.259	-0.239	0.178
ENG	2022	0.325	-0.01	-0.416	-0.321	-0.065	-0.245	-0.05	-0.197	-0.175	-0.134	0.21	0.243	0.286	0.024	0.18	0.603	-0.257
ENO1	2023	-1.137	-0.925	-0.196	1.08	0.445	0.518	-0.314	0.058	0.96	0.852	-0.228	0.176	-0.842	-0.074	0.267	-0.413	-0.228
ENO2	2026	-0.662	-0.748	-0.244	0.649	0.118	0.098	-0.184	-0.09	0.531	0.673	-0.258	0.047	-0.381	0.471	0.013	0.051	-0.083
ENO3	2027	-0.426	0.023	0.207	0.34	0.309	0.385	0.494	-0.326	-0.553	-0.572	-0.016	-0.055	0.645	0.484	-0.66	0.132	-0.409
ENPEP	2028	-0.008	0.323	0.09	0.302	-0.176	-0.282	0.031	-0.289	0.022	-0.23	-0.025	0.148	0.001	0.021	0.019	0.102	-0.049
ENPP1	5167	0.392	0.005	-0.122	-0.244	-0.006	-0.227	-0.117	-0.101	-0.083	-0.35	-0.352	0.235	0.156	0.894	0.189	0.02	-0.291
ENPP2	5168	0.035	-0.362	0.009	-0.782	-0.344	-0.39	-0.174	-0.261	-0.038	-0.352	0.332	0.437	-0.529	1.493	0.498	0.807	-0.379
ENPP3	5169	-0.072	-0.289	0.423	-0.03	0.068	0.075	-0.598	-0.308	-0.122	-0.311	-0.093	0.165	0.506	0.882	-0.206	0.068	-0.158
ENSA	2029	-1.108	-0.575	-0.831	1.648	0.541	0.279	-0.53	0.215	1.04	1.182	-0.175	-0.585	0.312	-0.006	-0.041	-1.246	-0.121
ENTPD5	957	0.585	-0.025	0.498	-0.312	0.002	0.041	0.038	-0.351	0.164	-0.351	0.183	0.55	-0.471	0.068	-0.41	-0.339	0.131
EPB41	2035	-0.612	0.048	0.03	0.078	-0.144	0.067	-0.695	0.056	-0.599	-0.432	0.103	-0.907	2.016	3.026	-0.473	-1.12	-0.444
EPHA1	2041	0.462	-0.194	-0.1	0.072	-0.08	0.257	-0.051	-0.525	-0.06	-0.409	-0.038	0.561	0.013	-0.183	-0.15	0.533	-0.109
EPHA4	2043	0.221	-0.012	-0.433	-0.423	0.022	-0.053	-0.1	0.118	0.241	-0.324	0.603	0.414	0.265	-0.269	-0.248	0.258	-0.28
EPHA7	2045	0.235	0.345	-0.744	-1.179	0.165	-0.306	-0.557	0.31	-0.1	0.316	0.404	0.718	0.054	0.132	0.411	-0.171	-0.033
EPHB4	2050	0.243	0.014	-0.238	-0.115	0.124	-0.19	-0.016	-0.1	-0.062	-0.481	0.258	0.26	-0.185	-0.18	-0.065	0.896	-0.162
EPS15L1	58513	0	-0.231	-0.119	0.598	0.245	0.6	-0.063	-0.877	0.031	0.454	-0.335	0.575	0.259	0.306	-0.704	-0.566	-0.171
ERAP1	51752	0.256	-0.496	1.298	0.5	0.025	-0.052	0.276	-0.269	-0.135	-0.108	0.411	0.623	-0.814	-0.455	-0.713	-0.281	-0.066
ERAP2	64167	-0.772	0.236	-0.029	1.125	0.142	0.107	0.442	0.077	-0.33	-0.937	-0.673	0.779	-0.574	-1.135	0.04	1.313	0.19
ERBB4	2066	0.326	0.15	0.298	0.148	-0.246	0.256	0.316	-0.263	-0.354	-0.098	0.098	-0.113	0.247	0.004	-0.334	-0.188	-0.248
ERP29	10961	-1.762	-0.434	-1.088	1.388	0.367	0.779	-0.172	0.169	0.947	1.475	-0.622	-0.807	0.041	-0.339	0.5	-0.528	0.087
ERP44	23071	-0.174	-0.332	0.113	0.68	0.216	-0.088	-0.166	0.004	-0.019	-0.02	-0.275	-0.161	0.361	-0.12	0.131	0.028	-0.176
ERVMER34-1	100288413	0.194	-0.257	-0.127	-0.102	-0.119	0.165	0.062	0.104	-0.199	-0.182	0.269	-0.219	0.338	0.012	-0.195	0.348	-0.092
ESAM	90952	-0.231	-0.394	-0.239	0.136	0.18	0.637	-0.567	-0.235	0.449	0.711	-0.172	0.159	-0.093	-0.461	-0.211	0.189	0.142
ESD	2098	-0.511	-0.661	-0.19	0.786	-0.46	-0.019	0.12	0.087	-0.394	0.363	-0.32	-0.301	0.59	1.653	-0.313	-0.344	-0.087
ETF1	2107	-0.691	-0.272	-0.36	0.717	0.06	0.266	-0.635	-0.027	0.77	0.392	0.213	-0.568	0.228	-0.305	0.119	-0.082	0.175
EXT1	2131	-0.326	0.113	0.189	-0.167	-0.216	0.065	0.212	0.066	-0.014	-0.402	0.368	0.192	-0.062	0.125	-0.094	-0.128	0.078
EXT2	2132	-0.082	0.063	0.025	0.01	-0.178	0.189	0.374	-0.068	-0.364	-0.329	-0.059	0.192	-0.155	0.011	0.085	0.212	0.073
EXTL2	2135	0.21	0.125	-0.061	-0.413	0.18	-0.154	-0.029	-0.512	-0.104	-0.335	0.218	0.255	0.305	0.167	-0.274	0.609	-0.186
EZR	7430	0.625	0.084	0.436	0.352	0.096	0.133	0.199	0.071	-0.674	-0.529	-0.44	-0.249	0.079	0.364	-0.412	-0.118	-0.017
F10	2159	0.273	0.227	0.157	-0.006	0.279	0.487	0.238	0.005	-0.71	-0.39	-0.176	-0.042	0.109	-0.114	-0.067	-0.114	-0.156
F11	2160	0.213	0.337	-0.016	0.463	-0.251	-0.032	0.171	-0.098	-0.123	-0.284	-0.642	0.234	0.002	0.281	-0.234	-0.252	0.231
F12	2161	0.817	0.227	0.303	0.844	-0.131	-0.117	0.654	0.237	-0.006	-0.747	0.239	-0.661	-0.07	-0.604	-0.266	-0.643	-0.077
F13A1	2162	0.23	-0.03	0.242	-0.115	0.1	-0.387	-0.275	-0.31	0.226	0.055	0.069	0.763	-0.938	-0.097	0.054	0.479	-0.065
F13B	2165	0.392	0.224	-0.027	-0.269	0.222	-0.175	-0.371	-0.035	-0.418	0.415	-0.197	0.44	0.047	0.101	-0.133	0.067	-0.285
F2	2147	0.442	0.073	0.169	0.668	0.042	0.042	0.084	-0.068	-0.821	-0.296	-0.254	-0.157	-0.085	0.162	-0.291	0.257	0.034
F5	2153	0.582	-0.025	0.269	-0.372	-0.14	-0.476	0.051	-0.166	-0.926	0.127	-0.15	0.196	-0.233	-0.334	0.326	0.79	0.48
F7	2155	0.734	-0.114	0.01	-0.747	-0.12	-0.085	0.947	-0.486	-0.32	-0.115	-0.404	0	-0.75	-0.005	0.647	0.962	-0.153
F8	2157	-0.162	-0.553	-0.398	-0.043	0.215	-0.241	0.182	-0.152	0.21	-0.125	0.316	0.115	-0.157	0.024	0.019	0.841	-0.089
F9	2158	0.621	0.102	0.067	0.271	0.114	0.238	0.351	0.062	-0.478	-0.316	-0.342	-0.306	0.134	-0.37	-0.25	-0.061	0.162
FABP1	2168	0.208	0.254	0.284	0.104	-0.008	0.299	-0.149	0.905	0.232	-0.632	-0.033	0.063	-0.145	-0.437	-0.424	0.028	-0.549
FABP3	2170	0.102	0.201	0.136	0.102	0.457	-0.11	-0.397	-0.134	-0.026	-0.506	0.251	0.047	0.737	-0.304	-0.426	-0.158	0.026
FABP4	2167	0.801	0.81	1.028	0.115	0.364	0.614	0.148	0.533	0.023	-0.317	-0.719	-0.274	0.226	-1.064	-0.995	-0.989	-0.306
FABP5	2171	-0.692	-0.012	-0.24	0.392	-0.001	0.181	-0.191	-0.025	0.196	0.291	0.229	-0.371	0.388	0.127	-0.081	-0.1	-0.089
FAH	2184	-0.094	1.408	0.2	0.638	-0.144	1.049	0.963	0.504	-0.536	-0.511	-0.239	-0.213	-0.417	-0.199	-0.703	-0.711	-0.995
FAIM3	NA	0.28	-0.086	-0.037	-0.594	-0.411	-0.19	0.741	-0.745	-0.404	-1.014	0.41	-0.081	0.738	-0.052	0.564	1.042	-0.16
FAM129A	NA	-0.022	-0.057	-0.074	0.048	0.001	-0.139	0.189	-0.278	0.089	-0.565	0.258	0.612	0.163	-0.128	0.083	0.281	-0.46
FAM151A	338094	0.062	-0.156	0.713	2.044	-0.059	0.382	0.65	-1.227	-0.72	-1.195	0.174	0.35	-0.363	0.075	-0.129	-0.68	0.079
FAM198A	NA	0.357	0.147	0.635	0.489	0.169	0.265	0.678	-0.682	-0.449	-0.159	0.024	0.06	0.31	-0.417	-0.315	-1.018	-0.093
FAM20A	54757	0.793	-0.398	0.362	-0.275	0.106	-0.093	0.78	0.037	-0.198	-0.395	0.113	0.17	-0.511	-0.093	0.018	-0.327	-0.09
FAM20B	9917	0.076	-0.156	-0.035	-0.369	0.187	0.22	-0.114	0.03	0.401	-0.322	0.111	-0.016	0.187	-0.55	0.336	0.17	-0.156
FAM20C	56975	0.481	0.173	-0.041	-0.059	-0.104	0.076	0.258	0.023	-0.267	-0.234	-0.182	0.086	-0.07	-0.168	0.062	-0.079	0.045
FAM3C	10447	0.106	-0.298	0.061	0.385	0.05	-0.186	-0.057	0.004	-0.114	-0.406	0.119	0.799	0.193	0.119	-0.432	-0.03	-0.311
FAM96A	NA	-0.534	-0.457	0.093	0.481	0.169	-0.183	-0.313	0.234	-0.007	-0.206	0.303	-0.41	0.754	1.1	-0.222	-0.76	-0.042
FAP	2191	0.259	0.703	0.283	-0.439	0.071	0.362	-0.166	0.039	0.144	-0.516	0.396	0.006	0.17	-0.278	-0.369	-0.331	-0.335
FAS	355	-0.021	0.482	-0.37	-0.263	0.387	0.167	-0.343	-0.053	0.619	-0.065	0.532	-0.329	0.754	-1.514	0.285	-0.069	-0.201
FBLN1	2192	0.475	-0.254	0.116	-0.551	-0.296	-0.626	0.65	-0.145	-0.269	-0.205	0.07	0.032	-0.07	0.115	0.479	0.752	-0.271
FBLN2	2199	-0.051	0.189	0.129	-0.216	-0.187	-0.313	0.469	-0.471	-0.029	-0.294	0.453	-0.023	0.55	-0.251	-0.001	0.357	-0.311
FBLN5	10516	0.129	0.017	-0.227	-0.828	0.172	-0.223	-0.327	-0.239	-0.043	0.035	0.14	0.49	0.28	0.228	-0.493	1.323	-0.434
FBLN7	129804	-0.037	-0.145	-0.093	-0.498	-0.008	-0.172	-0.344	-0.166	0.295	-0.511	0.575	0.138	-0.033	0.16	0.36	0.687	-0.21
FBN1	2200	0.432	0.533	-0.695	-0.686	-0.162	-0.461	-0.618	-0.167	-0.262	0.609	0.057	0.565	0.296	0.258	-0.139	0.652	-0.212
FBP1	2203	-0.363	0.919	0.414	0.745	0.749	1.795	1.772	0.987	-0.746	-0.682	-0.497	-0.3	-0.804	-0.804	-0.965	-1.529	-0.69
FBP2	8789	0.037	0.879	0.353	0.551	0.547	1.473	1.66	0.748	-0.989	-0.63	-0.76	0.207	-0.866	0.028	-1.02	-1.269	-0.948
FCAMR	83953	0.933	0.551	0.11	-0.169	0.164	0.354	0.269	0.193	-0.578	-0.059	0.164	-0.25	0.255	-1.196	0.184	-0.314	-0.608
FCGBP	8857	-0.064	0.423	0.051	-0.22	0.451	0.821	-0.156	0	-0.608	-0.001	0.493	0.097	-1.017	-1.066	0.123	0.734	-0.063
FCGR2A	2212	0.363	0.46	0.42	-0.156	0.028	0.02	-0.332	0.212	-0.183	-0.509	0.551	0.112	-0.319	-0.427	-0.238	-0.081	0.079
FCGR3A	2214	0.363	0.335	-0.305	-0.445	0.127	0.002	0.243	0.111	0.025	-0.077	0.546	-0.114	0.051	-1.076	-0.267	0.419	0.062
FCGR3B	2215	-0.13	-0.589	0.251	0.27	0.375	0.046	0.701	-0.276	-0.2	-0.642	0.295	-0.38	-0.512	0.672	0.346	0.193	-0.421
FCGRT	2217	1.395	-0.74	-0.324	-0.667	-0.845	-0.978	1.485	-0.703	-0.262	-0.745	-0.235	1.567	-0.391	1.646	-0.06	0.219	-0.361
FCN1	2219	0.473	0.624	0.425	-0.511	-0.256	-0.508	0.404	0.063	0.25	-0.43	0.498	-0.375	-0.666	-0.207	0.087	1.242	-1.114
FCN2	2220	0.762	0.412	0.907	-0.288	-0.043	0.644	-0.391	0.044	-0.064	-1.033	0.74	0.523	-0.498	-0.163	0.361	0.315	-2.228
FCN3	8547	0.315	-1.153	0.412	-0.931	0.333	-0.78	0.28	0.832	-0.111	0.1	0.5	-0.134	-0.302	-0.111	0.021	-0.049	0.778
FCRL5	83416	0.239	-0.54	0.301	-0.24	-0.644	-0.518	0.07	-0.395	-0.057	-0.379	0.528	0.541	-0.486	0.388	0.787	0.581	-0.174
FDPS	2224	-0.369	-0.208	-0.105	0.794	-0.111	0.115	0.11	0.143	0.452	0.678	-0.732	0.131	-0.622	0.477	-0.208	-0.451	-0.094
FERMT3	83706	-1.734	-0.865	-0.734	1.172	0.288	0.502	-0.194	0.189	1.167	1.447	-0.191	0.068	-1.172	-0.561	0.703	-0.354	0.27
FETUB	26998	-0.152	0.466	0.783	0.168	0.109	0.118	-0.577	-0.497	0.444	0.168	0.508	-0.09	-0.064	0.154	-0.127	0.249	-1.66
FGA	2243	0.231	0.499	-0.254	0.197	0.104	-0.02	-0.222	-0.147	-0.249	0.196	0.134	-0.252	-0.004	-0.096	-0.245	-0.037	0.167
FGB	2244	0.616	0.709	-0.613	-0.121	-0.044	0.032	-0.115	-0.118	-0.689	0.051	-0.094	-0.284	-0.231	0.308	-0.088	0.424	0.255
FGFR1	2260	0.252	0.202	-0.147	-0.294	-0.236	0.008	-0.186	0.093	0.039	0.064	0.32	0.123	0.247	-0.207	-0.18	0.198	-0.294
FGFR3	2261	0.157	0.089	0.093	-0.301	0.061	-0.167	-0.13	0.071	0.097	-0.092	0.669	0.075	0.535	-0.423	-0.049	-0.457	-0.229
